"No","Meting door:","Datum","Gewicht in kg","Vetpercentage in %","Spiermassa in KG","Spiermassa in PERCENTAGE (nu met kommagetal!)","Lichaamsvocht in KG","Lichaamsvocht in PERCENTAGE (nu met kommagetal)","Botmassa in KG","Botmassa in PERCENTAGE (nu met kommagetal)","Notities"
"624","Better Bodies apparaat","07-11-2022 20:53:46","78,5","16,3","62,4",,"45,4","57,8","3,3",,"Kijk, ik eet nu al enkele weken op minstens 3500 kcal, en hier komt de spiermassa er eindelijk t.o.v. voorgaande metingen!"
"623","Weegschaal thuis","06-11-2022 12:23:20","77,6",,,,,,,,"Gisteren cheatday, ong. 3500 kcal"
"622","Health Advies Breda (handmatig - tangen)","05-11-2022 14:28:32","79,0","12,5",,,,,,,""
"621","Weegschaal thuis","04-11-2022 11:31:55","77,9",,,,,,,,""
"620","Weegschaal thuis","03-11-2022 08:49:49","78,1",,,,,,,,""
"619","Weegschaal thuis","02-11-2022 08:42:03","77,7",,,,,,,,""
"618","Weegschaal thuis","01-11-2022 07:35:47","77,9",,,,,,,,""
"617","Weegschaal thuis","31-10-2022 07:30:27","77,9",,,,,,,,""
"616","Weegschaal thuis","29-10-2022 12:04:44","77,2",,,,,,,,""
"615","Weegschaal thuis","28-10-2022 10:40:56","76,8",,,,,,,,""
"614","Weegschaal thuis","27-10-2022 08:49:00","77,0",,,,,,,,""
"613","Weegschaal thuis","26-10-2022 08:55:45","76,8",,,,,,,,""
"612","Weegschaal thuis","25-10-2022 06:25:43","77,1",,,,,,,,"Vanaf vandaag  250 kcal, 3500 kcal totaal"
"611","Better Bodies apparaat","24-10-2022 21:02:40","76,7","15,9","61,3",,"44,5","58,0","3,2",,"Aangezien ik sinds 3 oktober amper ben gestegen qua gewicht en vrijwel gelijk ben gebleven qua vetpercentage en spiermassa is het alweer duidelijk. Ik moet net als vorig jaar weer naar de 3500 kcal!"
"610","Weegschaal thuis","24-10-2022 07:39:11","76,7",,,,,,,,""
"609","Weegschaal thuis","23-10-2022 11:57:08","76,0",,,,,,,,"Gisteren cheatday, circa 3500 kcal"
"608","BasicFit apparaat","22-10-2022 14:24:04","75,6","14,0",,"82,0",,"45,0",,"4,0","Basicfit apparaat teteringsedijk&nbsp;"
"607","Weegschaal thuis","22-10-2022 10:48:23","76,0",,,,,,,,""
"606","Weegschaal thuis","21-10-2022 10:46:48","76,4",,,,,,,,""
"605","Weegschaal thuis","20-10-2022 08:46:38","76,2",,,,,,,,""
"604","Weegschaal thuis","19-10-2022 08:52:06","77,0",,,,,,,,""
"603","Weegschaal thuis","18-10-2022 07:39:12","76,8",,,,,,,,""
"602","Weegschaal thuis","17-10-2022 07:30:50","77,5",,,,,,,,""
"601","Weegschaal thuis","16-10-2022 11:24:32","77,5",,,,,,,,"Gisteren cheatday gehad, circa 3500 kcal"
"600","Weegschaal thuis","15-10-2022 11:20:08","76,5",,,,,,,,""
"599","Weegschaal thuis","14-10-2022 10:28:11","76,5",,,,,,,,""
"598","Weegschaal thuis","13-10-2022 08:45:26","76,6",,,,,,,,""
"597","Weegschaal thuis","12-10-2022 08:55:33","76,3",,,,,,,,""
"596","Weegschaal thuis","11-10-2022 07:34:50","76,8",,,,,,,,""
"595","Better Bodies apparaat","10-10-2022 21:01:47","76,8","15,9",,"61,4","44,6","58,1","3,2",,"Deze meting is iets meer positief, maar ik ben volgens het apparaat qua spiermassa (wel in vet) niet meer gestegen sinds september?"
"594","Weegschaal thuis","10-10-2022 07:41:04","77,0",,,,,,,,""
"593","Weegschaal thuis","09-10-2022 12:16:41","76,0",,,,,,,,"Gisteren cheatday; 3250 kcal"
"592","BasicFit apparaat","08-10-2022 14:24:42","76,3","14,0",,"82,0",,"46,0",,"4,0","Deze meting ziet er een stuk meer realistisch uit, is op apparaat bij Basicfit Teteringsedijk. Maarja, helaas als er met afgeronde percentages wordt berekend kan ik niet een trend van circa een paar weken ontdekken.."
"591","Weegschaal thuis","08-10-2022 10:48:58","76,8",,,,,,,,""
"590","Health Advies Breda (handmatig - tangen)","07-10-2022 17:13:45","76,0","12,0",,,,,,,"Meting door Lorraine, maar ook deze meting is wel erg positief. Als ik realistisch zou kijken zit ik volgens mij eerder rond de 14% waar ik ook zat de laatste keer toen Lorraine mij zelf deed meten.<br>Tja, zou de meting bij haar wel kloppen?<br>Ook zeiden ze dat aankomen in de bulk per maand 1 of 2 kg zou opleveren? Volgens mij eerder/liever 2-3kg?<br><br>Dus tja.. zijn de metingen van Health Advies gewoon te positief? Of is de meting bij het Better Bodies apparaat te negatief?"
"589","Weegschaal thuis","07-10-2022 10:51:38","76,0",,,,,,,,""
"588","Weegschaal thuis","06-10-2022 08:35:34","76,6",,,,,,,,""
"587","Weegschaal thuis","05-10-2022 07:07:43","76,9",,,,,,,,""
"586","Weegschaal thuis","04-10-2022 07:26:53","76,0",,,,,,,,"Vanaf vandaag  250 kcal (3250 totaal). Ik ben sinds 12 september 'maar' 0,5-1kg aangekomen ipv 2-3kg. Te weinig dus om echte spiergroei te realiseren voor bulk (""een goede bulk zou moeten leiden tot 2,5 - 3 kg gewichtstoename per maand"" - fitsociety.nl/bulken).<br><br>Zeer waarschijnlijk ga ik weer richting de 3500 kcal wat vorig jaar ook mijn kcal aantal was voor de bulk."
"585","Better Bodies apparaat","03-10-2022 21:03:24","76,1","16,0","60,7",,"44,0","57,8","3,2",,"Wat een negatieve-neutrale meting zeg.. gezakt in spiermassa en aangekomen in vet. Ligt aan het momentopname zeker of te weinig/te veel vocht?"
"584","Weegschaal thuis","03-10-2022 08:41:48","76,1",,,,,,,,"Gisteren 3500 kcal op ivbm reguliere voedingsschema (3000)   extra want Singelloop (500)"
"583","Weegschaal thuis","02-10-2022 10:56:16","76,1",,,,,,,,"Gisteren cheatday gehad, circa 3000 kcal (mijn normale dagelijkse calorien)"
"582","Weegschaal thuis","01-10-2022 11:20:47","75,3",,,,,,,,"Einde creatinekuur"
"581","Weegschaal thuis","30-09-2022 10:12:24","75,6",,,,,,,,""
"580","Weegschaal thuis","29-09-2022 06:36:37","76,4",,,,,,,,""
"579","Weegschaal thuis","28-09-2022 06:40:44","76,6",,,,,,,,""
"578","Weegschaal thuis","27-09-2022 06:08:57","75,9",,,,,,,,""
"577","Weegschaal thuis","26-09-2022 08:38:14","76,0",,,,,,,,""
"576","Weegschaal thuis","25-09-2022 12:17:23","75,6",,,,,,,,"Gisteren cheatday gehad, circa 3000-3250 kcal"
"575","Weegschaal thuis","24-09-2022 10:13:23","75,2",,,,,,,,""
"574","Weegschaal thuis","23-09-2022 07:31:41","75,9",,,,,,,,""
"573","Weegschaal thuis","22-09-2022 07:37:18","75,7",,,,,,,,""
"572","Weegschaal thuis","21-09-2022 07:43:17","75,5",,,,,,,,""
"571","Health Advies Breda (handmatig - tangen)","20-09-2022 12:27:18","74,5","11,5",,,,,,,"Meting weer niet door Lorraine gedaan, deze meting is weer een beetje off tov de andere metingen. Jammer maarja volgende week misschien weer eventjes langsgaan voor een meting van Lorraine"
"570","Weegschaal thuis","20-09-2022 08:36:05","75,3",,,,,,,,""
"569","Weegschaal thuis","19-09-2022 06:09:36","75,5",,,,,,,,"Gisteren cheatday gehad circa 3000 kcal"
"568","Weegschaal thuis","17-09-2022 11:35:18","75,0",,,,,,,,"Vanaf morgen; 3000 kcal ( 250 kcal)"
"567","BasicFit apparaat","16-09-2022 11:48:56","74,9","15,0",,"80,0",,"44,0",,"4,0","Meting bij Basicfit Teteringsedijk"
"566","Weegschaal thuis","16-09-2022 10:41:13","74,9",,,,,,,,""
"565","Weegschaal thuis","14-09-2022 07:35:16","75,0",,,,,,,,""
"564","Weegschaal thuis","13-09-2022 07:39:05","75,0",,,,,,,,""
"563","Better Bodies apparaat","12-09-2022 21:02:51","75,5","14,6","61,3",,"44,8","59,3","3,2",,"Mooi! Dezelfde waardes qua spiermaasa en vetpercentage behouden ondanks rustweek (deload) van geen fitness en 2500 kcal p/dag"
"562","Weegschaal thuis","12-09-2022 06:17:43","75,1",,,,,,,,""
"561","Weegschaal thuis","11-09-2022 12:25:15","75,0",,,,,,,,"Gisteren cheatday gehad, circa 3250 kcal"
"560","Weegschaal thuis","09-09-2022 10:26:23","75,0",,,,,,,,""
"559","Weegschaal thuis","08-09-2022 07:29:16","75,0",,,,,,,,""
"558","Weegschaal thuis","07-09-2022 08:45:40","75,3",,,,,,,,""
"557","Weegschaal thuis","06-09-2022 08:51:06","75,1",,,,,,,,""
"556","Weegschaal thuis","05-09-2022 06:13:19","75,3",,,,,,,,"Gisteren bloemencorso 2022 dus tweede cheatday gehad, circa 2850 kcal"
"555","Weegschaal thuis","04-09-2022 11:40:01","74,7",,,,,,,,"Gisteren cheatday gehad, circa 3000 kcal"
"554","Weegschaal thuis","03-09-2022 11:09:21","75,1",,,,,,,,""
"553","Weegschaal thuis","02-09-2022 12:44:27","75,4",,,,,,,,""
"552","Weegschaal thuis","01-09-2022 13:34:30","75,0",,,,,,,,""
"551","Weegschaal thuis","31-08-2022 12:53:44","75,2",,,,,,,,""
"550","Weegschaal thuis","30-08-2022 12:43:43","75,2",,,,,,,,""
"549","Better Bodies apparaat","29-08-2022 21:04:12","75,6","14,8","61,2",,"44,7","59,1","3,2",,""
"548","Weegschaal thuis","29-08-2022 12:31:17","75,0",,,,,,,,"Vandaag start 2750 kcal"
"547","Weegschaal thuis","28-08-2022 12:17:07","74,4",,,,,,,,"Gisteren cheatday gehad, circa 3000 kcal"
"546","BasicFit apparaat","27-08-2022 13:50:39","73,6","14,0",,"82,0",,"44,0",,"4,0","Meting bij Basicfit Teteringsedijk. Deze meting lijkt wat meer in lijn te zijn met andere meetmomenten (zoals bij Better Bodies) dus betrouwbaarder."
"545","Weegschaal thuis","27-08-2022 10:38:38","73,8",,,,,,,,""
"544","Weegschaal thuis","26-08-2022 12:16:39","74,1",,,,,,,,""
"543","Weegschaal thuis","25-08-2022 09:37:54","74,8",,,,,,,,""
"542","Weegschaal thuis","24-08-2022 12:37:54","74,5",,,,,,,,""
"541","Weegschaal thuis","23-08-2022 11:17:33","74,7",,,,,,,,""
"540","Weegschaal thuis","22-08-2022 11:39:41","74,8",,,,,,,,"Vanaf vandaag; 2500 kcal"
"539","Weegschaal thuis","21-08-2022 11:39:13","74,6",,,,,,,,""
"538","Weegschaal thuis","20-08-2022 10:40:08","75,0",,,,,,,,"Gisteren cheatday gehad, circa 2250 kcal"
"537","Weegschaal thuis","19-08-2022 10:31:31","74,7",,,,,,,,""
"536","Weegschaal thuis","18-08-2022 08:47:49","74,9",,,,,,,,""
"535","Weegschaal thuis","17-08-2022 06:05:46","74,7",,,,,,,,""
"534","Health Advies Breda (handmatig - tangen)","16-08-2022 12:38:49","73,5","12,3",,,,,,,"Vetmeting bij Lorraine gedaan, ziet er goed uit!"
"533","Weegschaal thuis","16-08-2022 08:50:51","75,0",,,,,,,,""
"532","Better Bodies apparaat","15-08-2022 20:57:21","75,5","14,0","61,7",,"45,3","60,0","3,2",,""
"531","Weegschaal thuis","15-08-2022 08:46:01","75,1",,,,,,,,"Vanaf vandaag; 2000 kcal"
"530","Weegschaal thuis","14-08-2022 11:21:01","75,0",,,,,,,,"Gisteren cheatday gehad, circa 2050 kcal"
"529","Weegschaal thuis","13-08-2022 11:28:05","74,6",,,,,,,,""
"528","Weegschaal thuis","12-08-2022 10:07:40","75,2",,,,,,,,""
"527","Weegschaal thuis","11-08-2022 08:49:34","75,6",,,,,,,,""
"526","Weegschaal thuis","10-08-2022 08:20:44","75,9",,,,,,,,""
"525","Weegschaal thuis","09-08-2022 06:23:51","76,0",,,,,,,,""
"524","Weegschaal thuis","08-08-2022 08:56:31","75,1",,,,,,,,""
"523","Weegschaal thuis","07-08-2022 11:17:48","75,8",,,,,,,,"Gisteren cheatday gehad, circa 2000 kcal"
"522","Weegschaal thuis","06-08-2022 10:03:46","75,7",,,,,,,,""
"521","Weegschaal thuis","05-08-2022 12:13:58","75,9",,,,,,,,""
"520","Weegschaal thuis","04-08-2022 08:49:42","76,0",,,,,,,,""
"519","BasicFit apparaat","03-08-2022 17:40:08","73,4","13,0",,"83,0",,"45,0",,"4,0","Deze meting is weer van BasicfitApparaat bij Chasseveld. Is niet helemaal correct net zoals de vorige keer. Beter meet ik voortaan enkel nog bij Teteringsedijk&nbsp;"
"518","Weegschaal thuis","03-08-2022 08:54:18","76,3",,,,,,,,"Vandaag start 1750 kcal voor de komende twee en laatste 2 weken van mijn cut."
"517","Weegschaal thuis","02-08-2022 08:49:36","77,0",,,,,,,,""
"516","Better Bodies apparaat","01-08-2022 21:02:17","77,4","16,3","61,6",,"44,7","57,8","3,2",,"Bijna gelijke meting als de voorgaande keer bij better bodies"
"515","Weegschaal thuis","01-08-2022 08:49:10","76,8",,,,,,,,"Vanaf vandaag, laatste 2 weken van mijn cut circa 1750 kcal."
"514","Weegschaal thuis","31-07-2022 11:57:16","76,4",,,,,,,,"Gisteren cheatday gehad, circa 2500 kcal"
"513","Weegschaal thuis","30-07-2022 10:10:38","76,9",,,,,,,,""
"512","Weegschaal thuis","29-07-2022 10:59:46","76,9",,,,,,,,""
"511","Weegschaal thuis","28-07-2022 08:49:40","77,3",,,,,,,,""
"510","Weegschaal thuis","26-07-2022 08:48:48","77,2",,,,,,,,""
"509","Weegschaal thuis","24-07-2022 12:03:53","77,3",,,,,,,,"Gisteren cheatday gehad, circa 2550 kcal"
"508","BasicFit apparaat","23-07-2022 15:46:53","76,1","15,0",,"81,0",,"45,0",,"4,0","Basicfit apparaat meting bij Basicfit Teteringsedijk. Dit is volgens mij een beter afgestelde dus meer realistische meting. Maar deze meting is wel NA de training!"
"507","Weegschaal thuis","23-07-2022 12:10:17","76,8",,,,,,,,""
"506","Health Advies Breda (handmatig - tangen)","22-07-2022 16:04:29","76,0","11,0",,,,,,,"Gemeten door Health Advies, maar niet Lorraine. Deze meting is wel ontzettend gunstig (binnen 1 maand tijd van 14,7 naar 11%!?.. wtf.. moet erg off zijn.. maarja). Misschien snel over 2 weken weer een nieuwe meting."
"505","BasicFit apparaat","22-07-2022 11:42:51","74,2","14,0",,"81,0",,"44,0",,"4,0",""
"504","Weegschaal thuis","22-07-2022 10:53:19","76,8",,,,,,,,""
"503","Weegschaal thuis","21-07-2022 08:52:16","77,1",,,,,,,,""
"502","Weegschaal thuis","19-07-2022 06:47:02","78,0",,,,,,,,""
"501","Better Bodies apparaat","18-07-2022 21:03:19","78,3","16,0","62,5",,"45,5","58,1","3,3",,"Lekker positieve meting! Yay! Dus heb ik mijn 'verloren spiermassa' aan het begin van mijn cut ingehaald/goedgemaakt?"
"500","Weegschaal thuis","18-07-2022 08:49:36","77,5",,,,,,,,""
"499","Weegschaal thuis","17-07-2022 11:20:27","78,0",,,,,,,,"Vandaag  250 kcal op door wat bites van kaasplankje (serenade ham, chorizo worst, kaas etc.) vanwege date vandaag."
"498","Weegschaal thuis","16-07-2022 13:48:05","77,9",,,,,,,,"Gisteren cheatday gehad, circa 2250 - 2500 kcal"
"497","Weegschaal thuis","15-07-2022 10:30:12","77,3",,,,,,,,""
"496","Weegschaal thuis","12-07-2022 06:50:33","77,8",,,,,,,,"Vandaag begonnen met creatine van XXL Nutrition. Dit werkte de vorige keer wanneer ik dit gebruikte ook goed, ik kwam pakweg 1-2 kg aan, aan vocht."
"495","Weegschaal thuis","11-07-2022 07:46:32","77,5",,,,,,,,""
"494","Weegschaal thuis","10-07-2022 11:54:47","77,5",,,,,,,,"Gisteren cheatday gehad; 3250 kcal"
"493","Weegschaal thuis","09-07-2022 12:07:14","77,5",,,,,,,,""
"492","Weegschaal thuis","07-07-2022 05:57:25","78,7",,,,,,,,""
"491","Weegschaal thuis","06-07-2022 06:17:01","78,0",,,,,,,,""
"490","Weegschaal thuis","04-07-2022 08:46:48","78,1",,,,,,,,""
"489","Weegschaal thuis","03-07-2022 13:40:35","77,9",,,,,,,,"Gisteren cheatday gehad circa 2750 kcal"
"488","Weegschaal thuis","02-07-2022 11:24:06","77,7",,,,,,,,""
"487","BasicFit apparaat","01-07-2022 16:26:25","73,1","13,0",,"83,0",,"45,0",,"4,0","Plotseling mis ik 4 kg bij deze meting t.o.v. mijn weegschaal meting van de dating hiervoor?"
"486","Weegschaal thuis","01-07-2022 12:58:37","77,3",,,,,,,,""
"485","Weegschaal thuis","30-06-2022 08:46:30","77,8",,,,,,,,""
"484","Better Bodies apparaat","27-06-2022 20:52:42","78,3","16,6","62,1",,"45,0","57,5","3,2",,"Eerste meting na Graspop 2022 &amp; daarna een week ziek op bed liggen dankzij corona (2 weken dus niet gesport)! Ziet er denk ik gewoon gunstig uit, als is het vetpercentage denk ik niet veel gedaald (misschien zelfs light gestegen!?)"
"483","Weegschaal thuis","27-06-2022 08:38:47","78,5",,,,,,,,""
"482","Weegschaal thuis","26-06-2022 13:04:18","78,2",,,,,,,,"Voel me sinds gisteren weer beter en vandaag ook zonder hoesten of kuchen.<br>Vanaf vandaag circa 2050 kcal (echte kip voor diner EN 1 boterham met pindakaas als lunch ipv 2)"
"481","Weegschaal thuis","25-06-2022 11:05:41","77,8",,,,,,,,"Vandaag voel ik me pas weer 100% beter bij het opstaan. Een hoestje zal ik waarschijnlijk nog wel even blijven houden zoals bij de laatste keer. Maar de koorts, vermoeidheid en het snotteren zijn in ieder geval weg."
"480","Weegschaal thuis","24-06-2022 12:59:23","77,9",,,,,,,,""
"479","Weegschaal thuis","23-06-2022 12:11:02","78,0",,,,,,,,"Nog steeds ziek en ik denk dat ik deze hele week niet zal kunnen sporten. Vandaag is nog uiterlijk de dag dat ik mijn 4daagse schema t/m zondag zou kunnen uitoefenen maar op dit moment van schrijven voel ik me toch echt nog niet goed genoeg. Bovendien 'echt' sporten in de sportschool zit er sowieso niet in vanwege corona"
"478","Weegschaal thuis","22-06-2022 11:24:00","77,7",,,,,,,,"Ziek vandaag &amp; gisteren. Vooral vandaag; koorts en ben net wakker. Ik voel me helemaal uitgedroogd. Misschien verklaart dat waarom ik nu zoveel lichter ben dan gisteren"
"477","Weegschaal thuis","21-06-2022 12:29:37","78,4",,,,,,,,"Eerste meting na circa 4/5 cheatdays (graspop festival). Ziet er vrij aardig uit!"
"476","Weegschaal thuis","14-06-2022 12:05:31","78,6",,,,,,,,""
"475","Weegschaal thuis","13-06-2022 11:12:37","79,6",,,,,,,,"Eergisteren cheatday gehad, circa 2500 kcal"
"474","BasicFit apparaat","10-06-2022 12:01:43","79,1","16,0",,"80,0",,"46,0",,"4,0","Deze meting ziet er wat meer positief uit dan de voorgaande metingen op het BasicfitApparaat denk ik? Of is dat enkel gevoel?"
"473","Weegschaal thuis","10-06-2022 10:27:21","79,6",,,,,,,,""
"472","Weegschaal thuis","09-06-2022 06:45:13","79,1",,,,,,,,""
"471","Weegschaal thuis","08-06-2022 07:25:10","79,3",,,,,,,,"Gisteren 10km gerend, voorbereiding mudmasters"
"470","Weegschaal thuis","07-06-2022 06:30:27","79,9",,,,,,,,""
"469","Better Bodies apparaat","06-06-2022 13:05:52","79,2","16,3","63,0",,"45,9","58,0",,"3,3","Gewicht blijkt nog niet te zijn toegenomen na start inname creatine, ook niet in een hoger vochtgehalte denk ik?"
"468","Weegschaal thuis","06-06-2022 08:39:35","79,2",,,,,,,,"Gisteren cheatday gehad, circa 2600 kcal"
"467","Weegschaal thuis","04-06-2022 11:56:21","79,0",,,,,,,,"Gisteren 10km gerend, voorbereiding mudmasters"
"466","Weegschaal thuis","01-06-2022 08:37:54","79,0",,,,,,,,""
"465","Weegschaal thuis","31-05-2022 08:47:46","78,9",,,,,,,,""
"464","Weegschaal thuis","30-05-2022 07:48:39","79,7",,,,,,,,"Start gebruik creatine vandaag!"
"463","Weegschaal thuis","29-05-2022 11:53:41","79,3",,,,,,,,"Gisteren cheatday; 2500 kcal"
"462","Health Advies Breda (handmatig - tangen)","27-05-2022 12:35:33","79,5","14,7",,,,,,,"Gaat wel lekker zo op 2250kcal, 1,5% vet er af volgens Lorraine sinds pakweg 1 maand geleden!"
"461","Weegschaal thuis","26-05-2022 10:32:46","79,6",,,,,,,,""
"460","Weegschaal thuis","25-05-2022 07:33:14","80,3",,,,,,,,""
"459","Weegschaal thuis","24-05-2022 08:12:14","80,1",,,,,,,,""
"458","Weegschaal thuis","22-05-2022 12:24:33","79,5",,,,,,,,"Gusteren cheatday gehad: circa 2300 kcal"
"457","Weegschaal thuis","21-05-2022 10:53:58","80,3",,,,,,,,""
"456","Weegschaal thuis","18-05-2022 06:40:39","80,9",,,,,,,,""
"455","Weegschaal thuis","17-05-2022 07:38:08","80,6",,,,,,,,""
"454","Better Bodies apparaat","16-05-2022 21:04:53","81,2","18,5","62,9",,"45,5","56,0","3,3",,"Gaat de goede richting op, maar kan ooo schijn van het opnamemoment zijn. Gewoon lekker naar 2250kcal gaan zoals ik al van plan was."
"453","Weegschaal thuis","16-05-2022 08:51:33","80,9",,,,,,,,"Vanaf vandaag 2250 kcal!"
"452","Weegschaal thuis","15-05-2022 11:38:05","80,6",,,,,,,,"Gisteren cheatday gehad, circa 2800 kcal"
"451","Weegschaal thuis","13-05-2022 10:29:45","81,1",,,,,,,,""
"450","Weegschaal thuis","12-05-2022 06:53:50","81,4",,,,,,,,""
"449","Weegschaal thuis","11-05-2022 06:22:07","81,0",,,,,,,,""
"448","Weegschaal thuis","10-05-2022 08:55:13","81,2",,,,,,,,""
"447","Weegschaal thuis","09-05-2022 07:38:09","81,5",,,,,,,,"Eergisteren cheatday gehad; circa 2600 kcal"
"446","Weegschaal thuis","07-05-2022 12:12:20","81,1",,,,,,,,""
"445","Health Advies Breda (handmatig - tangen)","06-05-2022 11:23:46","80,5","15,8",,,,,,,"Vetpercentage is volgens deze meting nagenoeg gelijk gebleven als de vorige meting van Health Advies.&nbsp;<br>Jammer, maar Lorraine adviseerde mij om nog een maandje dit vol te houden en dan nog eens te kijken. <br><br>Voedingsschema van 2500 kcal zag er volgens haar goed uit, proteine was wel wat hoog (meer dan 2g per kilo hoeft niet).. mja ik ga wel in kilo's naar beneden en dat is goed.<br><br>Ze vertelde wel dat het NORMAAL is (vrijwel elke fitnesser) levert wat aan spiermassa in tijdens de cut. Iedereen. Uiteraard zou je meer vetmassa dan spiermassa aan het eind moeten hebben ingeleverd. Dus houd hier rekening mee!<br>"
"444","Weegschaal thuis","06-05-2022 10:05:33","81,1",,,,,,,,""
"443","Weegschaal thuis","05-05-2022 08:53:01","81,2",,,,,,,,""
"442","Weegschaal thuis","04-05-2022 06:59:46","81,7",,,,,,,,""
"441","Weegschaal thuis","03-05-2022 07:28:18","81,3",,,,,,,,""
"440","Better Bodies apparaat","02-05-2022 20:50:55","81,4","19,8","62,1",,"44,8","55,0","3,2",,"Deze meting is nagenoeg gelijk als de vorige van better bodies. Tja dan moet ik me er maar bij neerleggen.<br><br>Gelukkig gaat mijn spiermassa tijdens deze cut niet echt achteruit (heel klein beetje, verwaarloosbaar aantal) en deel ik wel alsnog in gewicht. Jammer dat ik het qua cetpercentagr nog niet terug zie, maarja. Nog even zo doorzetten voor 2 weken en als dat niet helpt, dan maar verder naar beneden schroeven naar 2250 kcal per dag?<br><br>Ook een huidplooimeting weer eens laten doen bij Health Advies om te checken of in die metingen van hen een daling te zien is in de trend?"
"439","Weegschaal thuis","30-04-2022 12:23:27","81,3",,,,,,,,""
"438","BasicFit apparaat","29-04-2022 13:38:14","81,6","27,0",,"67,0",,"56,0",,"6,0",""
"437","Weegschaal thuis","28-04-2022 08:46:36","82,0",,,,,,,,"Gisteren cheatday (koningsdag 2022); ~2600kcal"
"436","Weegschaal thuis","27-04-2022 11:12:22","81,6",,,,,,,,""
"435","Better Bodies apparaat","25-04-2022 19:55:39","81,7","19,9","62,2",,"44,9","55,0","3,2",,"Deze meting lijkt nogal van het padje te zijn, ik ben sinds pakweg 2 weken geleden begonnen met cutten (2600 a 2500 kcal per dag   op dezelfde intensiteit blijven trainen). <br><br>Ik voel dat ik ietsjes minder kan pakken qua gewicht, dit zie ik ook terug in mijn resultaten volgens mijn oefeningenschema.&nbsp;<br>Daarom had ik juist verwacht (iets) minder vetmassa en hetzelfde of ietsjes minder spiermassa. Naja.. volgende meting dan maar.."
"434","Weegschaal thuis","25-04-2022 08:48:05","81,8",,,,,,,,""
"433","Weegschaal thuis","24-04-2022 12:42:05","82,0",,,,,,,,"Gisteren cheatday gehad, circa 2600-2700 kcal"
"432","Weegschaal thuis","23-04-2022 12:14:04","81,6",,,,,,,,""
"431","BasicFit apparaat","22-04-2022 12:53:04","81,4","26,0",,"68,0",,"56,0",,"6,0",""
"430","Weegschaal thuis","21-04-2022 08:52:33","82,1",,,,,,,,""
"429","Weegschaal thuis","19-04-2022 07:21:20","82,4",,,,,,,,""
"428","Weegschaal thuis","18-04-2022 12:01:49","81,8",,,,,,,,"Eergisteren cheatday gehad circa 2600 kcal. Vanaf vandaag komende maanden 2500 kcal aangezien rijstepap nu ook op is."
"427","Weegschaal thuis","17-04-2022 11:26:02","81,9",,,,,,,,""
"426","Weegschaal thuis","16-04-2022 16:37:10","82,4",,,,,,,,""
"425","Weegschaal thuis","14-04-2022 06:44:14","82,4",,,,,,,,""
"424","Weegschaal thuis","11-04-2022 08:47:19","82,9",,,,,,,,"Vanaf vandaag start cuttingfase; 2750 kcal (tot rijstepap op is, eind deze week?) daarna; 2500 kcal!"
"423","Weegschaal thuis","10-04-2022 12:04:41","82,3",,,,,,,,"Gisteren cheatday gehad, circa 4000 kcal"
"422","Health Advies Breda (handmatig - tangen)","08-04-2022 15:23:30","82,0","15,8",,,,,,,"Nieuwe vetmeting bij Health Advies, uitgevoerd door een andere medewerker dan Lorraine. Maar vetpercentage valt nog mee op zich, alhoewel het voelt als iets meer aan dan 15,8%!"
"421","Weegschaal thuis","08-04-2022 10:25:04","82,5",,,,,,,,""
